48	"[0.64322089 0.23655246 0.23534147 0.21277811 0.23996783 0.34664401
 0.73405427]"
49	"[0.4014201  0.10797268 0.12511897 0.34825032 0.1600483  0.06150698
 0.45758048]"
50	"[0.59637985 0.12025647 0.06487481 0.05535959 0.05029229 0.03650534
 0.11840471]"
51	"[0.78031123 0.44913569 0.5004914  0.64921561 0.52903533 0.39193791
 0.73438625]"
52	"[0.3793878  0.06569377 0.1826148  0.18373688 0.0353241  0.17261371
 0.8921006 ]"
53	"[0.24064176 0.09080554 0.06043753 0.09953258 0.11159453 0.0618111
 0.52942646]"
54	"[0.65900564 0.19896687 0.11781473 0.13879721 0.18338061 0.15471299
 0.49582064]"
55	"[0.7157563  0.15767444 0.08077361 0.31200362 0.58380336 0.43132934
 0.74475308]"
56	"[0.5793881  0.08942308 0.04276985 0.03344106 0.04954877 0.06176426
 0.14413128]"
57	"[0.77919669 0.12664057 0.04137843 0.04944608 0.06814584 0.14609115
 0.44271809]"
58	"[0.31438981 0.05211526 0.0576985  0.03399507 0.04568232 0.11977756
 0.48811771]"
59	"[0.91551125 0.74405552 0.72103744 0.45992819 0.40755025 0.56052219
 0.86627926]"
60	"[0.18581662 0.07410716 0.07880881 0.09641676 0.09458309 0.10920329
 0.89094997]"
61	"[0.36327736 0.06172192 0.0547549  0.04307745 0.04699747 0.0800396
 0.46465603]"
62	"[0.68358778 0.22953112 0.13851837 0.1226221  0.2145173  0.23626871
 0.54787884]"
63	"[0.45413192 0.07625306 0.05099788 0.05489281 0.05003034 0.06372038
 0.52177641]"
64	"[0.24633122 0.0974044  0.1450734  0.07547733 0.08492795 0.10333024
 0.37723201]"
65	"[0.25777187 0.0272553  0.05314738 0.05736061 0.0304589  0.1308181
 0.70894802]"
66	"[0.90888402 0.45696644 0.30580255 0.50935491 0.30030907 0.23589086
 0.78897032]"
67	"[0.83370289 0.75281866 0.67043171 0.53084857 0.5626419  0.78173114
 0.96891449]"
68	"[0.15789415 0.0306593  0.13881948 0.22470881 0.04244037 0.06746686
 0.88642433]"
69	"[0.60005844 0.59556425 0.98517606 0.55430894 0.37824735 0.34780185
 0.49167059]"
70	"[0.38849283 0.05568107 0.03771591 0.04759278 0.19898749 0.32511579
 0.53473448]"
71	"[0.30650926 0.07511939 0.12636462 0.09202675 0.08994355 0.03708699
 0.1961531 ]"
72	"[0.33877416 0.07175789 0.07404488 0.03135353 0.03548613 0.10661765
 0.64000356]"
73	"[0.65806429 0.03514659 0.11197688 0.0136797  0.01788176 0.04698328
 0.43837315]"
74	"[0.45338482 0.07090348 0.04312474 0.04436613 0.04368775 0.08292515
 0.50886618]"
75	"[0.68305536 0.28784115 0.27951011 0.21544734 0.39805363 0.86312985
 0.90064465]"
76	"[0.44488273 0.05254753 0.06183249 0.05997386 0.01345901 0.07104988
 0.35285677]"
